code||title||nickname||content||stars||symp||notSymp||reviewDate
10130||미드나잇 익스프레스||0411****||그냥 답답해보이고, 불쌍정도. 딱히 영화 스토리 구성이나 편집은 그저그랬다.  ||7||2||0||12/04/15 11:15:00.000000
10130||미드나잇 익스프레스||sunn****||역시 알란파커! 이런 게 진짜 영화다.  ||10||1||0||10/11/27 16:12:00.000000
10130||미드나잇 익스프레스||stsp****||탈출하고 싶다. 또 다른 세상속으로!  ||8||1||0||08/03/23 00:42:00.000000
10130||미드나잇 익스프레스||mari****||머리에 계속 떠오른다... 평점낮게주는인간들 뇌에 주름이없다.  ||10||1||0||07/05/30 10:09:00.000000
10130||미드나잇 익스프레스||anti****||심장소리가 두근두근.마지막 탈옥이 조금 시시하지만 실화라는 점을 감안해서 본다면 충분히 카타르시스가 느껴진다.알란파커의 미국본위 이데올로기가 거슬리기는 하나 탈옥영화의 진수를 느낄수 있어 즐겁다.  ||9||0||0||16/10/22 23:17:00.000000
10130||미드나잇 익스프레스||qorr****||마약밀매범인 주인공을 미화했다.  ||3||0||0||10/09/19 10:55:00.000000
10130||미드나잇 익스프레스||bete****||실화? 나라와 나라간의 어쩔수 없는 갈등을 잘 풀어헤친 영화다.  ||6||0||0||09/07/31 01:56:00.000000
10130||미드나잇 익스프레스||leem****||자유를 되찾은 주인공의 힘찬 JUMP!~  ||10||0||0||09/06/01 18:52:00.000000
10130||미드나잇 익스프레스||deka****||영화를 보는 내내 그 갑갑한 터키 감옥과 정신병동의 분위기가 계속 전해져왔다.  ||9||0||0||09/05/26 04:05:00.000000
10130||미드나잇 익스프레스||zzan****||뭐가 재미있다는 건지...오래된영화 팍팍티나고..너무 허무하네요  ||1||0||0||09/04/20 05:54:00.000000
10130||미드나잇 익스프레스||xz11****||정말 명작  ||10||0||0||09/02/08 14:44:00.000000
10130||미드나잇 익스프레스||show****||어릴 적 이것보고 충격이란...감옥이란 곳의 고통을 적나라하게 보여준다.  ||8||0||0||08/02/09 20:09:00.000000
10130||미드나잇 익스프레스||bomb****||오리엔탈리즘만으로 치부하기엔 아까운 영화  ||7||0||0||08/01/07 21:04:00.000000
10130||미드나잇 익스프레스||sham****||빠삐용,쇼생크탈출과 나란히 하는 세계3대 탈옥영화..리프키~~~~ㅎㅎ  ||9||0||0||07/09/14 09:44:00.000000
10130||미드나잇 익스프레스||twkk****||재밋음  ||10||0||0||06/10/04 12:29:00.000000
10130||미드나잇 익스프레스||hide****||최고의 각본, 최고의 연기, 최고의 음악.. 감동  ||10||0||0||06/09/27 08:16:00.000000
10130||미드나잇 익스프레스||pwoo****||말초적 재미는 제로. 그러나, 이 먹먹한 여운을 다시한번 느끼고 싶다.  ||8||1||1||11/06/21 20:40:00.000000
