code||title||nickname||content||stars||symp||notSymp||reviewDate
10201||칵테일||cont****||탐 크루즈와 엘리자베스 슈의 청춘이 감미로운 OST와 함께 잘 버무려졌다  ||8||9||0||12/01/21 16:23:00.000000
10201||칵테일||lsn3****||막 엄청난 감동 그런것 없지만 매력적인 영화ㅋㅋㅋ  ||10||8||0||11/01/05 00:35:00.000000
10201||칵테일||north(ny__****)||낭만적인 청춘!!!  ||8||9||1||12/08/13 16:18:00.000000
10201||칵테일||ans3****||백점짜리.. 사랑 성공 인생  ||10||2||0||09/03/02 08:20:00.000000
10201||칵테일||삼나무(myce****)||재밌게 봤네요. 톰 눈빛이 캬~~  ||10||0||0||18/02/05 01:40:00.000000
10201||칵테일||jjh7****||인생에서 중요한 것이 무엇인지 일깨워주는 영화에요  ||10||0||0||16/12/31 17:06:00.000000
10201||칵테일||7774****||10점만점에 10점  ||10||0||0||09/03/14 11:22:00.000000
10201||칵테일||dja4****||열정이 느껴지는 톰의 풋풋하고 통통튀던 그시절..ost 구웃~  ||10||0||0||06/05/30 00:06:00.000000
10201||칵테일||expr****||이것이 로망이며 인생이다!  ||10||0||1||07/10/17 02:13:00.000000
10201||칵테일||99io****||젊음을 어떻게 보낼지 탐이 잘 가르쳐 준 영화, 재미있었고 기억에남는다  ||9||0||1||07/08/23 16:57:00.000000
10201||칵테일||dark****||이거 보고 병이나 컵같은거 던지고 그랬었다.재밌게본 영화  ||9||0||1||05/11/24 02:56:00.000000
10201||칵테일||come****||중반까진 지루..다 보고 나면 단순 애정 영화가 아님을 앎..근데 남주 연기 못함  ||7||0||2||10/07/27 11:07:00.000000
10201||칵테일||turbolife(funo****)||수식어가 필요없는 진짜 멋진 영화...  ||10||1||3||15/07/28 22:35:00.000000
10201||칵테일||푸른불(adiv****)||이영화 이후 국내에 칵테일 열풍이 불었던영화  ||7||23||3||14/01/27 23:36:00.000000
10201||칵테일||boxe****||진실한 마음은 통하는것.  ||9||14||0||10/09/29 15:59:00.000000
10201||칵테일||여디디야(jooz****)||역시 톰 크루즈는 최고!  ||9||14||1||14/05/01 12:51:00.000000
10201||칵테일||tleh****||탐크루즈를 알게해준 영화. 어린시절 아주 재미있게 본영화 ㅋㅋ  ||8||4||0||09/02/19 00:22:00.000000
10201||칵테일||alsc****||전개는 산만하나 사회초년생의 고민들이 담겨있다.  ||8||2||0||11/03/27 23:45:00.000000
10201||칵테일||elf2****||음악영화 한편을 본듯한... 너무 잘어울리는 영상과 비치보이스  ||8||2||0||06/12/26 05:55:00.000000
10201||칵테일||ilos****||꼬맹이때 본 영화인데 너무 재밌었던 기억^^  ||10||2||0||06/03/02 22:54:00.000000
10201||칵테일||runn****||생각과는 다른  ||5||1||0||04/12/13 14:00:00.000000
10201||칵테일||ttmi****||탐 이때 너무 귀엽네.ㅋㅋ영화는 즐  ||6||0||0||06/04/21 03:12:00.000000
10201||칵테일||pose****||중딩때 봤던 영화지만 다시 봐도 최고다 / 요즘은 이런영화 보기 드물지...음  ||10||0||1||09/07/28 03:23:00.000000
10201||칵테일||edo1****||아주 재밌었다. 제목에 딱 맞는 영화  ||10||0||1||08/03/29 02:40:00.000000
10201||칵테일||debi****||작품성 조은 영화는 역시 옛날영화죠!  ||9||0||1||06/08/21 20:43:00.000000
10201||칵테일||taks****||탐크루즈 영화중 최고!!!  ||10||0||1||06/08/06 20:25:00.000000
10201||칵테일||inki****||톰크루즈의 팬으로 만든 매혹적인 영화. 이런 영화라면 더본다.  ||10||0||1||06/01/16 13:09:00.000000
10201||칵테일||stit****||추억의 80년대 클래식. 시원한 배경과 음악과 함께 탐 크루즈의 매력 속으로.  ||7||2||0||10/07/18 09:29:00.000000
10201||칵테일||magi****||탐크루즈라는 사람을 인식시킨 재밋는영화  ||10||2||0||09/04/08 16:45:00.000000
10201||칵테일||zeed****||여름영화~와우  ||10||2||0||06/07/28 12:55:00.000000
10201||칵테일||funk****||젊은 톰을 볼수 있는 영화  ||7||2||0||03/12/23 00:00:00.000000
10201||칵테일||reki****||톰크루즈영화는 별거없어도 볼만하게 재밌다  ||8||0||0||09/07/09 14:14:00.000000
10201||칵테일||jmp0****||살 맛나게 해주는 영화. 제목 하나는 참 잘지었네  ||10||0||0||09/02/22 01:29:00.000000
10201||칵테일||pjyl****||요거 보고 톰 크루즈한테 푹 빠짐..정말 잼나욧~  ||9||0||0||05/04/07 14:59:00.000000
10201||칵테일||뷔뮐번호(agai****)||좀전에 보긴햇는데...오래된 영화라 전 그저 그랫어요.마지막에 조단과 함께 도망치는 장면이..너무 쉽게 갈등이 해결되는거 같앗아여  ||5||1||1||16/08/02 00:04:00.000000
