code||title||nickname||content||stars||symp||notSymp||reviewDate
10025||록키 5||some****||마지막 길거리 격투신과 엔딩크레딧 만으로도 충분한 영화!!  ||10||23||1||07/10/04 20:15:00.000000
10025||록키 5||phw1****||엔딩 크레딧만으로도 10점!!  ||10||8||1||07/10/03 16:50:00.000000
10025||록키 5||dndd****||액션은 전작들이 뛰어날지 모르지만 이 시리즈는 감동이 있다.  ||10||7||1||09/12/10 07:16:00.000000
10025||록키 5||하루(gkst****)||록키 시리즈 최대의 암덩어리 폴리. 신규 암덩어리 토미 ㅋㅋ  ||9||6||1||15/05/27 10:37:00.000000
10025||록키 5||고스톱(jou1****)||토미건을 록키가 키워주웠는데 결국 제자가 스승을 배신하네 결국 배신의 대가는 처참했다  ||9||3||0||16/02/16 18:26:00.000000
10025||록키 5||스프레드(effo****)||참교육 지렸죠~~~!!  ||10||1||0||17/04/02 10:17:00.000000
10025||록키 5||눈빛강조(zxzx****)||내용만 다를뿐이지 전개는 이전 레퍼토리와 비슷하다. 그래서 신선함은 없었다. 후반부의 이야기는 무리수..라기보다는 막장드라마 보는 느낌이였다.그럼에도 록키5 는 예전과 같은 값진 명대사들이 많았다. 그게 이 영화의 값어치를 떨어뜨리기 힘든 이유다.  ||8||1||0||16/08/16 01:11:00.000000
10025||록키 5||luna****||내가 본건 록키5 밖에 없지만 감동과 전율이 온몸에서 느껴졋다 정말 최고의영화이다  ||10||3||2||08/09/02 19:05:00.000000
10025||록키 5||shan****||스탤론의 말대로 어쩌면 록키는 3편에서 마무리되어야.....  ||7||1||1||09/11/25 19:14:00.000000
10025||록키 5||khm6****||모 tv프로그램에서 록키라는 영화에 대한 말이나와서 본 영화  ||10||1||1||07/04/26 18:49:00.000000
10025||록키 5||seun****||만화 더파이팅 보다 훨씬 더 재밌음.  ||10||1||1||04/06/05 00:36:00.000000
10025||록키 5||ilga****||시리즈 영화중 역사상 가장 위대한 영화,록키 그리고 대부..  ||10||2||2||12/04/04 23:35:00.000000
10025||록키 5||joke****||길거리 정신은 되찾았을 지 몰라도 챔피언 정신은 상실했다  ||7||2||2||08/10/22 15:18:00.000000
10025||록키 5||god1****||역시 록키 시리즈라는 말밖에..  ||10||0||1||09/01/27 12:11:00.000000
10025||록키 5||kimb****||분명 지금의 기준과 시점에서 평가할 영화가 절대 아니다  ||9||1||2||12/03/14 14:45:00.000000
10025||록키 5||hjj5****||록키 멋지게 한방 먹이고 은퇴하는구나 !!  ||9||1||2||08/10/20 16:59:00.000000
10025||록키 5||nhs0****||남자들이여! 열정과 패기가 느껴지지 않는가!!  ||10||1||2||08/10/09 22:27:00.000000
10025||록키 5||쥬니(qorc****)||1 2 3 4 에 비해 좀 아쉽긴하다.. 그래두 10점주리..  ||10||2||3||13/05/24 08:49:00.000000
10025||록키 5||kpga****||좀 별로였지만..  ||10||0||2||07/08/26 02:38:00.000000
10025||록키 5||myv9****||시리즈 중에서 혹평을 많이 받았지만.. 록키5가 좋은 이유는 뭘까? 최고의 감동!!  ||9||0||2||07/02/21 15:52:00.000000
10025||록키 5||바람의언덕(sipj****)||록키 시리즈는 속편을 거듭할수록 퀄리티가 확연히 떨어진다  ||4||1||4||15/06/06 20:43:00.000000
10025||록키 5||filc****||내 유년시절 영웅 록키에게 만점을 주고싶다.  ||10||3||0||05/08/05 22:21:00.000000
10025||록키 5||foun****||록키5는 이전의 시리즈들과는 다르게 록키 캐릭터의 인간적인 면을 더욱 부각시켰다  ||7||2||1||10/07/30 00:34:00.000000
10025||록키 5||RED(xx41****)||4편보다 낫지만  그닥 별로  ||7||0||0||18/03/14 17:19:00.000000
10025||록키 5||risk****||록키 전 5편들을 다 봐야 뭔가 느낄 수 있다!  ||8||0||0||06/05/11 19:59:00.000000
